"patchX [cm]","patchY [cm]","Phi [deg]","Freq [GHz]","max(dB(GainTotal)) []"
0.5,0.5,0,1,-32.0673003269818
0.5,0.5,0,2.5,-19.4219376775514
0.5,0.5,0,4,-10.8381768027826
0.5,0.5,0,7,2.35454163504823
0.5,0.5,0,10,5.04992515028667
0.5,0.5,0,11.5,5.37084737732083
0.5,0.5,0,13,5.49292494986976
0.5,0.5,0,14.5,6.18409100598178
0.5,0.5,0,16,5.45151138087284
0.5,0.5,0,16.75,4.58966609028462
0.5,0.5,0,17.5,4.27774290698837
0.5,0.5,0,19,4.75143643198234
0.5,0.5,0,20.5,3.7366040624154
0.5,0.5,0,22,1.96731623537665
0.5,0.5,0,23.5,2.33345813010855
0.5,0.5,0,25,1.63941244113857
0.5,0.6,0,1,-31.4052954498284
0.5,0.6,0,2.5,-18.7647436414984
0.5,0.6,0,4,-10.1758801387042
0.5,0.6,0,7,2.57558898046362
0.5,0.6,0,10,5.10786546954815
0.5,0.6,0,13,5.62548236100922
0.5,0.6,0,14.5,6.27363039052654
0.5,0.6,0,16,5.07037033492001
0.5,0.6,0,17.5,3.73328310790117
0.5,0.6,0,19,3.46297516844537
0.5,0.6,0,19.75,2.49139265340493
0.5,0.6,0,20.5,1.47368538213
0.5,0.6,0,22,3.1079791348649
0.5,0.6,0,23.5,1.36750421087904
0.5,0.6,0,24.25,1.7226984500273
0.5,0.6,0,25,3.31356210669406
0.5,0.7,0,1,-30.8098140707215
0.5,0.7,0,4,-9.66769337292166
0.5,0.7,0,5.5,-0.792407144268375
0.5,0.7,0,7,2.71493165243699
0.5,0.7,0,10,5.14551133209281
0.5,0.7,0,13,5.68157823773747
0.5,0.7,0,14.5,5.9359170615313
0.5,0.7,0,16,3.3539317695531
0.5,0.7,0,19,1.31233804862964
0.5,0.7,0,20.5,4.31732545378446
0.5,0.7,0,22,3.90112032382768
0.5,0.7,0,23.5,1.57045367397391
0.5,0.7,0,25,4.63331452882688
0.5,0.8,0,1,-30.2706988990461
0.5,0.8,0,2.5,-17.6813367782947
0.5,0.8,0,4,-9.22561341034847
0.5,0.8,0,7,2.83487320961694
0.5,0.8,0,10,5.16577630793147
0.5,0.8,0,11.5,5.61847382767228
0.5,0.8,0,13,5.67220140953325
0.5,0.8,0,14.5,4.88600422966223
0.5,0.8,0,15.25,2.26212153364065
0.5,0.8,0,16,1.09820775116577
0.5,0.8,0,17.5,0.65375318630925
0.5,0.8,0,19,4.49241047580465
0.5,0.8,0,20.5,5.36713567477172
0.5,0.8,0,22,4.44551354769087
0.5,0.8,0,23.5,2.84504894446408
0.5,0.8,0,24.25,4.93343711171965
0.5,0.8,0,25,5.29362215321244
0.5,0.9,0,1,-29.8121103623676
0.5,0.9,0,2.5,-17.2381768989154
0.5,0.9,0,4,-8.83960728782983
0.5,0.9,0,7,2.88793144991684
0.5,0.9,0,10,5.21785460714916
0.5,0.9,0,11.5,5.66224407278488
0.5,0.9,0,12.25,5.65943927297481
0.5,0.9,0,13,5.39751644088012
0.5,0.9,0,14.5,0.727686511052442
0.5,0.9,0,16,1.43747234924046
0.5,0.9,0,16.75,2.59889302543554
0.5,0.9,0,17.5,4.26020385073282
0.5,0.9,0,19,6.00797220669803
0.5,0.9,0,20.5,5.10055288983368
0.5,0.9,0,22,2.91171196069506
0.5,0.9,0,25,3.42987624423738
0.5,1,0,1,-29.3945804037681
0.5,1,0,2.5,-16.8525264419864
0.5,1,0,4,-8.50751767667894
0.5,1,0,7,2.94780253351281
0.5,1,0,10,5.15687844237997
0.5,1,0,11.5,5.62431688480063
0.5,1,0,13,3.70416449860921
0.5,1,0,14.5,1.5686071354652
0.5,1,0,16,3.86442259039026
0.5,1,0,17.5,5.67435058321121
0.5,1,0,19,6.34198273697095
0.5,1,0,22,2.00127419351905
0.5,1,0,22.75,1.2748326562277
0.5,1,0,23.5,2.21025947354299
0.5,1,0,24.25,2.57245332977583
0.5,1,0,25,0.845768527200112
0.5,1.1,0,1,-29.0302956185679
0.5,1.1,0,4,-8.18820743309676
0.5,1.1,0,5.5,0.0625722174088827
0.5,1.1,0,7,2.90923662553143
0.5,1.1,0,10,4.93573969107534
0.5,1.1,0,11.5,5.18962728750404
0.5,1.1,0,13,0.383273093340877
0.5,1.1,0,14.5,4.55674391266439
0.5,1.1,0,16,5.23979898464823
0.5,1.1,0,17.5,6.12535093772998
0.5,1.1,0,19,6.00874433052241
0.5,1.1,0,22,0.81176237787781
0.5,1.1,0,22.75,-0.450219552805211
0.5,1.1,0,23.5,-1.28849318789027
0.5,1.1,0,25,-0.839684569889724
0.5,1.2,0,1,-28.7221417789407
0.5,1.2,0,2.5,-16.1893149379408
0.5,1.2,0,4,-7.97483757374167
0.5,1.2,0,7,2.79181296868566
0.5,1.2,0,10,4.45905427569425
0.5,1.2,0,13,3.89013621658463
0.5,1.2,0,16,5.88309493126695
0.5,1.2,0,17.5,6.19361059209735
