"patchX [cm]","patchY [cm]","Freq [GHz]","dB(St11) []"
0.5,0.5,1,-0.094158584005818
0.5,0.5,1.24242424242424,-0.10989487495745
0.5,0.5,1.48484848484849,-0.126892436879416
0.5,0.5,1.72727272727273,-0.144280128266968
0.5,0.5,1.96969696969697,-0.161243256878167
0.5,0.5,2.21212121212121,-0.177074250790804
0.5,0.5,2.45454545454545,-0.191214851598712
0.5,0.5,2.6969696969697,-0.203286307632282
0.5,0.5,2.93939393939394,-0.213105499374111
0.5,0.5,3.18181818181818,-0.220686681232626
0.5,0.5,3.42424242424242,-0.226229996775977
0.5,0.5,3.66666666666667,-0.230098967560804
0.5,0.5,3.90909090909091,-0.232789763971753
0.5,0.5,4.15151515151515,-0.234895291639596
0.5,0.5,4.39393939393939,-0.237067046466551
0.5,0.5,4.63636363636364,-0.23997739278843
0.5,0.5,4.87878787878788,-0.244284488923714
0.5,0.5,5.12121212121212,-0.250601597680811
0.5,0.5,5.36363636363636,-0.259472035214842
0.5,0.5,5.60606060606061,-0.271350570588599
0.5,0.5,5.84848484848485,-0.286591714339101
0.5,0.5,6.09090909090909,-0.305445037643807
0.5,0.5,6.33333333333333,-0.328057445050259
0.5,0.5,6.57575757575758,-0.354482177581637
0.5,0.5,6.81818181818182,-0.384694239731664
0.5,0.5,7.06060606060606,-0.418611910973957
0.5,0.5,7.3030303030303,-0.456124005065511
0.5,0.5,7.54545454545455,-0.497122561214277
0.5,0.5,7.78787878787879,-0.541540669812964
0.5,0.5,8.03030303030303,-0.589395128322306
0.5,0.5,8.27272727272727,-0.640833562729329
0.5,0.5,8.51515151515152,-0.696185505520047
0.5,0.5,8.75757575757576,-0.756016657079008
0.5,0.5,9,-0.821185135823428
0.5,0.5,9.24242424242424,-0.892897905757215
0.5,0.5,9.48484848484848,-0.972764729415395
0.5,0.5,9.72727272727273,-1.0628459234113
0.5,0.5,9.96969696969697,-1.16568893431101
0.5,0.5,10.2121212121212,-1.284347426333
0.5,0.5,10.4545454545455,-1.42237541832643
0.5,0.5,10.6969696969697,-1.58378840217359
0.5,0.5,10.9393939393939,-1.77298380303646
0.5,0.5,11.1818181818182,-1.99461506916413
0.5,0.5,11.4242424242424,-2.25341728080689
0.5,0.5,11.6666666666667,-2.55398690980776
0.5,0.5,11.9090909090909,-2.90052249401932
0.5,0.5,12.1515151515152,-3.29653306959839
0.5,0.5,12.3939393939394,-3.74451165851954
0.5,0.5,12.6363636363636,-4.24554357248834
0.5,0.5,12.8787878787879,-4.79876131141898
0.5,0.5,13.1212121212121,-5.40045333862803
0.5,0.5,13.3636363636364,-6.04248708665261
0.5,0.5,13.6060606060606,-6.7097052194084
0.5,0.5,13.8484848484848,-7.37725140468098
0.5,0.5,14.0909090909091,-8.01569928256475
0.5,0.5,14.3333333333333,-8.62777375168467
0.5,0.5,14.5757575757576,-9.31182944592874
0.5,0.5,14.8181818181818,-10.1947651351248
0.5,0.5,15.0606060606061,-11.2433518134772
0.5,0.5,15.3030303030303,-12.3066325633694
0.5,0.5,15.5454545454545,-13.2401753569215
0.5,0.5,15.7878787878788,-13.9178229728164
0.5,0.5,16.030303030303,-14.234088941571
0.5,0.5,16.2727272727273,-14.1454544704678
0.5,0.5,16.5151515151515,-13.7003769667472
0.5,0.5,16.7575757575758,-13.0107261851473
0.5,0.5,17,-12.1945238287046
0.5,0.5,17.2424242424242,-11.3412309563381
0.5,0.5,17.4848484848485,-10.5071229372255
0.5,0.5,17.7272727272727,-9.72377658307165
0.5,0.5,17.969696969697,-9.00746540805131
